label,leftEyebrow,rightEyebrow,leftLip,rightLip,lipHeight,LipWidth
,2.86410182919833,6.40396508201657,5.27731846888573,5.27731846888573,1.31312971269868,1.99830167820146
,2.86361942985019,6.55875263289477,5.37951102754874,5.37951102754874,1.31283259091352,2.0049711973648
,2.85754864583127,6.7498979679094,5.32919111474706,5.32919111474706,1.28073084339086,2.02529256028632
,2.88454604143017,6.78015142090435,5.40063038911028,5.40063038911028,1.35685892419871,2.07961003254528
,2.82666854966945,6.72442754314936,5.24820283091088,5.24820283091088,1.31312971269868,1.95802489151208
,2.7354541512162,6.09198964131774,6.27823062760907,6.27823062760907,2.6165772509267,3.17947486272255
,2.71480720447515,6.51892854602118,6.32044325823444,6.32044325823444,2.9283906327731,3.50269438069157
,2.64663454830886,6.49198263095878,6.31317875082234,6.31317875082234,2.60751637212526,3.27626396668509
,3.11168743610412,4.77219019422135,5.45677717904413,5.45677717904413,1.36558340069856,2.06029140978671
,3.05491777742454,4.87556458509088,5.28217421215262,5.28217421215262,1.28379933934495,1.96704150924183
,3.00472914812815,5.04020046911646,5.47809592005721,5.47809592005721,1.35299270314589,2.06029140978671
,2.65477896435843,6.12094864096336,5.72544428183036,5.72544428183036,1.87959872897062,2.88501376712694
,2.55789179607571,6.15322625406685,6.10076844521578,6.10076844521578,2.08618120982956,3.21486903239811
,2.93572594522766,5.50008874406531,5.46215204275796,5.46215204275796,1.41738313965297,2.14650026591936
,2.94275221766305,5.73130550982942,5.58437966978842,5.58437966978842,1.58428685218673,2.49089784986779
,2.89961064151847,6.25631422001693,5.62428562310507,5.62428562310507,1.64843412310433,2.55052438612988
,3.24841101789425,5.04837229847003,5.4670788920916,5.4670788920916,2.20653082474344,2.40154550539432
,3.23282126897865,5.25951926822105,5.37342613677138,5.37342613677138,2.2242413930533,2.42655878897608
,3.14725262121432,4.7132935792864,5.38992901211022,5.38992901211022,2.07943380366393,2.3378661162539
,2.78510392184674,7.04652306468266,5.5253551843554,5.5253551843554,1.17853320718854,2.10648229472563
,2.78819849198229,7.34101158031513,5.48551065877243,5.48551065877243,1.15354905493388,2.13893592805282
,2.79549204391904,7.52609304554252,5.52563929559332,5.52563929559332,1.20523203975953,2.14947079977866
